time,model,dataset,prompt_idx,num_data,population,prefix,cal_zeroshot,cal_hiddenstates,log_probs,calibrated,tag
2023-03-17 03:07:52,roberta-large-mnli,ag-news,4,,1000,normal,True,True,0.489,0.634,
2023-03-17 03:07:52,roberta-large-mnli,ag-news,5,,1000,normal,True,True,0.557,0.707,
2023-03-17 03:07:52,roberta-large-mnli,ag-news,6,,1000,normal,True,True,0.531,0.707,
2023-03-17 03:07:52,roberta-large-mnli,ag-news,7,,1000,normal,True,True,0.526,0.709,
2023-03-17 03:07:52,roberta-large-mnli,dbpedia-14,0,,1000,normal,True,True,0.52,0.687,
2023-03-17 03:07:52,roberta-large-mnli,dbpedia-14,1,,1000,normal,True,True,0.492,0.659,
2023-03-17 03:07:52,roberta-large-mnli,dbpedia-14,2,,1000,normal,True,True,0.683,0.797,
2023-03-17 03:07:52,roberta-large-mnli,dbpedia-14,3,,1000,normal,True,True,0.511,0.671,
2023-03-17 03:07:52,roberta-large-mnli,dbpedia-14,4,,1000,normal,True,True,0.51,0.624,
2023-03-17 03:07:52,roberta-large-mnli,dbpedia-14,5,,1000,normal,True,True,0.562,0.772,
2023-03-17 03:07:52,roberta-large-mnli,dbpedia-14,6,,1000,normal,True,True,0.687,0.798,
2023-03-17 03:07:52,roberta-large-mnli,dbpedia-14,7,,1000,normal,True,True,0.62,0.79,
